ID,Country,Vendor,Shipment_Mode,Year,Quarter,Month,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Product_Group,Line_Item_Value,Freight_Cost_USD,Freight_Type,Weight_Kilograms,Freight_Cost_Ratio
1,Côte d'Ivoire,RANBAXY Fine Chemicals LTD.,Air,2006,2,6,2006-06-02,2006-06-02,0,On Time,On Time,HRDT,551.0,780.34,Separate,13.0,141.62
3,Vietnam,Aurobindo Pharma Limited,Air,2006,4,11,2006-11-14,2006-11-14,0,On Time,On Time,ARV,6200.0,4521.5,Separate,358.0,72.93
4,Côte d'Ivoire,Abbott GmbH & Co. KG,Air,2006,3,8,2006-08-27,2006-08-27,0,On Time,On Time,HRDT,40000.0,1653.78,Separate,171.0,4.13
15,Vietnam,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Air,2006,3,9,2006-09-01,2006-09-01,0,On Time,On Time,ARV,127360.8,16007.06,Separate,1855.0,12.57
16,Vietnam,Aurobindo Pharma Limited,Air,2006,3,8,2006-08-11,2006-08-11,0,On Time,On Time,ARV,121600.0,45450.08,Separate,7590.0,37.38
23,Nigeria,Aurobindo Pharma Limited,Air,2006,3,9,2006-09-28,2006-09-28,0,On Time,On Time,ARV,2225.6,5920.42,Separate,504.0,266.01
44,Zambia,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Air,2007,1,1,2007-01-08,2007-01-08,0,On Time,On Time,ARV,4374.0,,Absorbed,328.0,
45,Tanzania,Aurobindo Pharma Limited,Air,2006,4,11,2006-11-24,2006-11-24,0,On Time,On Time,ARV,60834.55,6212.41,Separate,1478.0,10.21
46,Nigeria,Aurobindo Pharma Limited,Air,2006,4,12,2006-12-07,2006-12-07,0,On Time,On Time,ARV,532.35,,Absorbed,,
47,Zambia,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2007,1,1,2007-01-30,2007-01-30,0,On Time,On Time,ARV,115080.0,,Absorbed,643.0,
60,Zambia,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2007,1,2,2007-02-16,2007-02-16,0,On Time,On Time,ARV,115080.0,,Absorbed,643.0,
61,Zambia,"Trinity Biotech, Plc",Air,2007,1,1,2007-01-08,2007-01-08,0,On Time,On Time,HRDT,100000.0,13569.49,Separate,853.0,13.57
62,Nigeria,EY Laboratories,Air,2007,1,1,2007-01-10,2007-01-10,0,On Time,On Time,HRDT,850.0,,Absorbed,,
64,Rwanda,CIPLA LIMITED,Air,2007,1,2,2007-02-27,2007-02-27,0,On Time,On Time,ARV,99800.0,64179.42,Separate,7416.0,64.31
65,Haiti,Abbott GmbH & Co. KG,Air,2007,1,1,2007-01-18,2007-01-18,0,On Time,On Time,HRDT,60000.0,1760.32,Separate,256.0,2.93
68,Zimbabwe,BRISTOL-MYERS SQUIBB,Air,2007,1,3,2007-03-19,2007-03-19,0,On Time,On Time,ARV,14764.5,,Absorbed,,
80,Rwanda,Premier Medical Corporation Ltd.,Air,2007,1,3,2007-03-29,2007-03-29,0,On Time,On Time,HRDT,33000.0,3120.7,Separate,710.0,9.46
87,Tanzania,BRISTOL-MYERS SQUIBB,Air,2007,2,6,2007-06-06,2007-06-06,0,On Time,On Time,ARV,8964.08,912.96,Separate,162.0,10.18
92,Nigeria,Abbott GmbH & Co. KG,Air,2007,2,6,2007-06-19,2007-06-19,0,On Time,On Time,HRDT,80000.0,2682.47,Separate,341.0,3.35
96,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2007,2,6,2007-06-19,2007-06-19,0,On Time,On Time,HRDT,202500.0,15893.71,Separate,2278.0,7.85
108,Côte d'Ivoire,BRISTOL-MYERS SQUIBB,Air,2007,4,10,2007-10-02,2007-10-02,0,On Time,On Time,ARV,140581.5,,Absorbed,2126.0,
115,Vietnam,Aurobindo Pharma Limited,Air,2007,4,10,2007-10-15,2007-10-15,0,On Time,On Time,ARV,1920.0,4193.49,Separate,941.0,218.41
116,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2007,3,8,2007-08-27,2007-08-27,0,On Time,On Time,ARV,41095.0,1767.38,Separate,117.0,4.3
130,Haiti,"Orgenics, Ltd",Air,2007,3,8,2007-08-13,2007-08-21,8,Late,Late,HRDT,53992.5,3518.38,Separate,171.0,6.52
134,Haiti,Orasure Technologies Inc.,Air,2007,3,8,2007-08-25,2007-08-25,0,On Time,On Time,HRDT,8750.0,3097.85,Separate,60.0,35.4
138,Tanzania,"Standard Diagnostics, Inc.",Air,2007,4,10,2007-10-16,2007-10-16,0,On Time,On Time,HRDT,200000.0,27869.74,Separate,3335.0,13.93
