ID,Vendor,Country,Product_Group,Sub_Classification,Shipment_Mode,Year,Quarter,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Freight_Type,Freight_Cost_USD,Line_Item_Value,Freight_Cost_Ratio,Dosage_Applicable,Weight_Kilograms
1,RANBAXY Fine Chemicals LTD.,Côte d'Ivoire,HRDT,HIV test,Air,2006,2,0,On Time,On Time,Separate,780.34,551.0,141.62,Not Applicable,13.0
3,Aurobindo Pharma Limited,Vietnam,ARV,Pediatric,Air,2006,4,0,On Time,On Time,Separate,4521.5,6200.0,72.93,Applicable,358.0
4,Abbott GmbH & Co. KG,Côte d'Ivoire,HRDT,HIV test,Air,2006,3,0,On Time,On Time,Separate,1653.78,40000.0,4.13,Not Applicable,171.0
15,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,ARV,Adult,Air,2006,3,0,On Time,On Time,Separate,16007.06,127360.8,12.57,Applicable,1855.0
16,Aurobindo Pharma Limited,Vietnam,ARV,Adult,Air,2006,3,0,On Time,On Time,Separate,45450.08,121600.0,37.38,Applicable,7590.0
23,Aurobindo Pharma Limited,Nigeria,ARV,Pediatric,Air,2006,3,0,On Time,On Time,Separate,5920.42,2225.6,266.01,Applicable,504.0
44,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Zambia,ARV,Pediatric,Air,2007,1,0,On Time,On Time,Absorbed,,4374.0,,Applicable,328.0
45,Aurobindo Pharma Limited,Tanzania,ARV,Adult,Air,2006,4,0,On Time,On Time,Separate,6212.41,60834.55,10.21,Applicable,1478.0
46,Aurobindo Pharma Limited,Nigeria,ARV,Adult,Air,2006,4,0,On Time,On Time,Absorbed,,532.35,,Applicable,
47,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,ARV,Adult,Air,2007,1,0,On Time,On Time,Absorbed,,115080.0,,Applicable,643.0
60,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,ARV,Adult,Air,2007,1,0,On Time,On Time,Absorbed,,115080.0,,Applicable,643.0
61,"Trinity Biotech, Plc",Zambia,HRDT,HIV test,Air,2007,1,0,On Time,On Time,Separate,13569.49,100000.0,13.57,Not Applicable,853.0
62,EY Laboratories,Nigeria,HRDT,HIV test,Air,2007,1,0,On Time,On Time,Absorbed,,850.0,,Not Applicable,
64,CIPLA LIMITED,Rwanda,ARV,Adult,Air,2007,1,0,On Time,On Time,Separate,64179.42,99800.0,64.31,Applicable,7416.0
65,Abbott GmbH & Co. KG,Haiti,HRDT,HIV test,Air,2007,1,0,On Time,On Time,Separate,1760.32,60000.0,2.93,Not Applicable,256.0
68,BRISTOL-MYERS SQUIBB,Zimbabwe,ARV,Pediatric,Air,2007,1,0,On Time,On Time,Absorbed,,14764.5,,Applicable,
80,Premier Medical Corporation Ltd.,Rwanda,HRDT,HIV test,Air,2007,1,0,On Time,On Time,Separate,3120.7,33000.0,9.46,Not Applicable,710.0
87,BRISTOL-MYERS SQUIBB,Tanzania,ARV,Pediatric,Air,2007,2,0,On Time,On Time,Separate,912.96,8964.08,10.18,Applicable,162.0
92,Abbott GmbH & Co. KG,Nigeria,HRDT,HIV test,Air,2007,2,0,On Time,On Time,Separate,2682.47,80000.0,3.35,Not Applicable,341.0
96,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,HRDT,HIV test,Air,2007,2,0,On Time,On Time,Separate,15893.71,202500.0,7.85,Not Applicable,2278.0
108,BRISTOL-MYERS SQUIBB,Côte d'Ivoire,ARV,Pediatric,Air,2007,4,0,On Time,On Time,Absorbed,,140581.5,,Applicable,2126.0
115,Aurobindo Pharma Limited,Vietnam,ARV,Pediatric,Air,2007,4,0,On Time,On Time,Separate,4193.49,1920.0,218.41,Applicable,941.0
